Frames	24K-me+precincts		precincts		me		24K-trunc
0	30,573517		25,932035		20,570919		26,337893
1	29,144483		25,921659		20,574498		26,270166
2	27,471779		25,922708		20,530416		26,334256
3	26,663519		25,909116		20,520571		26,278298
4	25,960396		25,806515		20,465469		26,197828
5	25,683763		25,813071		20,487019		26,268707
6	25,642406		25,743447		20,513814		26,15034
7	25,798166		25,883673		20,486528		26,250319
8	25,679911		25,753533		20,431773		26,167875
9	25,686143		25,797526		20,414041		26,217453
10	25,781633		25,867397		20,368253		26,243575
11	25,779742		25,748211		20,351948		26,149718
12	25,714631		25,847616		20,360136		26,193393
13	25,604565		25,705632		20,349045		26,151846
14	25,676528		25,8557		20,346039		26,220653
15	25,662237		25,798929		20,31214		26,180128
16	25,567134		25,738624		20,277612		26,141718
17	25,26407		25,7174		20,296598		26,151748
18	25,305048		25,678469		20,256507		26,076289
19	25,300727		25,764043		20,245939		26,133033
20	25,102442		25,705762		20,210813		26,092773
21	25,156484		25,685557		20,184835		26,051963
22	25,00027		25,728818		20,19491		26,081531
23	25,121409		25,661783		20,140648		25,997429
24	24,961492		25,831133		20,161791		26,233494
25	25,06297		25,775642		20,103503		26,129904
26	24,989255		25,838783		20,099095		26,122973
27	25,000099		25,777298		20,08707		26,163218
28	24,940655		25,685004		20,045969		25,961688
29	24,864713		25,684702		20,069714		26,089253
30	24,938957		25,703526		20,007668		26,01408
31	24,836055		25,605667		20,041302		25,994764
32	24,948207		25,802983		19,99891		26,089086
33	24,818081		25,502678		19,984841		25,901388
34	24,81242		25,603358		20,012576		25,951204
35	24,729856		25,462383		19,959734		25,856377
36	24,813242		25,612389		20,007295		25,928259
37	24,767488		25,563969		19,950995		25,948851
38	24,769177		25,573012		19,947038		25,880848
39	24,701528		25,559126		19,942685		25,956727
40	24,782396		25,442248		19,899435		25,765375
41	24,625124		25,457587		19,952662		25,843396
42	24,732306		25,507314		19,921058		25,832008
43	24,723028		25,551108		19,911118		25,886347
44	24,735018		25,59029		19,843611		25,935671
45	24,636094		25,512447		19,802947		25,836323
46	24,762786		25,524155		19,796496		25,829532
47	24,638431		25,480184		19,768958		25,87592
48	24,759191		25,515761		19,779369		25,83858
49	24,704006		25,696835		19,795527		25,963753
50	24,834993		25,574795		19,721449		25,928818
