Frames	23K-me+precincts		precincts		me		23K-trunc
0	30,047668		23,718648		20,570919		23,172211
1	28,947059		23,679887		20,584541		23,13942
2	27,123011		23,716077		20,570643		23,173662
3	26,467355		23,675968		20,564014		23,132459
4	25,682055		23,64404		20,512634		23,108567
5	25,541826		23,657602		20,541874		23,114629
6	25,393877		23,612662		20,578152		23,074492
7	25,560893		23,651355		20,577978		23,108535
8	25,455119		23,619725		20,522001		23,081561
9	25,560833		23,641707		20,477621		23,097949
10	25,46181		23,656334		20,421334		23,113477
11	25,478377		23,597451		20,392546		23,059896
12	25,352375		23,530981		20,386417		23,09095
13	25,360359		23,524185		20,397391		23,066177
14	25,322117		23,56768		20,376454		23,103809
15	25,286399		23,51774		20,345875		23,073023
16	25,20324		23,448907		20,302087		23,073023
17	25,128771		23,469467		20,321234		23,088784
18	25,016514		23,475866		20,276895		23,036735
19	24,944964		23,508949		20,263888		23,070793
20	24,842099		23,414277		20,210724		23,034754
21	24,798826		23,541933		20,215771		23,020213
22	24,703373		23,424937		19,982375		23,04638
23	24,705673		22,064857		19,963481		21,630238
24	24,670242		23,510063		19,952177		23,11621
25	24,678046		22,182336		19,899846		21,667668
26	24,577804		23,497697		19,91726		23,066985
27	24,555283		22,134154		19,885358		21,668094
28	24,535003		23,488164		19,817534		22,998579
29	24,558514		25,513207		19,869965		25,513207
30	24,514861		23,435403		19,7978		23,037454
31	24,537697		23,423477		19,828199		23,051471
32	24,544918		23,437488		19,790659		23,099811
33	24,500929		22,034686		19,76353		21,561137
34	24,457835		23,423243		19,794365		23,059168
35	24,470397		23,001359		19,754855		23,029733
36	24,488802		22,105318		19,793379		21,596577
37	24,487432		23,372098		19,738848		23,095962
38	24,466584		23,402529		19,734007		23,084524
39	24,472221		22,109538		19,746722		21,615063
40	24,411905		22,042125		19,696298		21,560171
41	24,413792		21,979164		19,754658		21,595785
42	24,396822		22,060164		19,697627		21,593526
43	24,428742		23,320666		19,678352		23,138492
44	24,417759		23,35123		19,641846		23,191944
45	24,375716		23,359671		19,590517		23,132246
46	24,337007		23,338736		19,611249		23,138855
47	24,373476		22,074439		19,561616		21,643028
48	24,329326		22,009685		19,55837		21,629947
49	24,383948		22,054735		19,572627		21,679426
50	24,363854		23,409847		19,519105		23,23812
