Frames	21K-me+precincts		precincts		me		21K-trunc
0	30,068894		17,024383		20,570919		17,819274
1	28,951008		17,016806		20,586414		17,812454
2	27,110275		17,021411		20,57489		17,82332
3	26,437934		16,94907		20,564826		17,815357
4	25,651084		17,396964		20,518907		18,426237
5	25,517498		17,290957		20,554255		17,807886
6	25,374833		17,229856		20,58195		17,802017
7	25,547434		17,607511		20,583196		18,429197
8	25,441262		17,527194		20,522684		17,805536
9	25,5433		17,224437		20,47775		17,813711
10	25,442684		17,286927		20,422956		17,822367
11	25,458953		17,3404		20,395138		18,418497
12	25,329949		17,280294		20,386229		17,816895
13	25,333908		17,373954		20,398345		18,41961
14	25,298993		17,293488		20,377388		17,814683
15	25,26123		17,390859		20,348199		17,811024
16	25,176758		17,27387		20,309559		17,81204
17	25,10802		17,33608		20,32175		17,812984
18	24,998799		17,925844		20,279421		18,405663
19	24,930023		17,283713		20,263091		17,809197
20	24,825399		17,200677		20,212082		17,797978
21	24,781926		17,338185		20,215571		17,791983
22	24,686932		16,895272		19,983447		17,80264
23	24,695609		17,159485		19,963141		17,787669
24	24,656206		16,972456		19,950545		17,820182
25	24,662781		17,297985		19,899016		17,809182
26	24,566517		17,42586		19,921911		17,80597
27	24,539489		17,298023		19,882745		17,811104
28	24,518643		17,214996		19,820871		17,787155
29	24,543805		17,270515		19,871654		17,805135
30	24,501064		17,179049		19,797186		17,794658
31	24,521379		17,271802		19,827667		17,799136
32	24,5263		17,359837		19,791499		17,813607
33	24,484677		17,136614		19,765031		17,788689
34	24,439408		16,968449		19,793485		17,803709
35	24,452236		17,167592		19,752259		17,790167
36	24,47242		16,88152		19,792775		17,807214
37	24,467981		17,168789		19,736959		17,812329
38	24,449436		16,866182		19,733543		17,811395
39	24,45411		17,26768		19,74648		17,824368
40	24,396068		17,255203		19,696481		17,803367
41	24,393687		17,172727		19,753451		17,315434
42	24,374753		17,167446		19,695905		17,821602
43	24,401918		16,929968		19,679562		17,833481
44	24,393043		17,255617		19,644126		17,850386
45	24,353983		17,273537		19,587636		17,833032
46	24,31692		17,769933		19,608308		18,396498
47	24,349363		16,894543		19,559743		17,856979
48	24,302732		17,244393		19,559797		17,853588
49	24,357205		16,845627		19,570745		17,881443
50	24,338556		17,691873		19,524285		17,878319
