me+precincts		precincts		me		trunc
37,306505		37,306505		20,570919		37,2989
37,282238		37,282238		20,516101		37,280336
37,308684		37,308684		20,498579		37,305829
37,28935		37,28935		20,534941		37,28105
37,262012		37,262012		20,534782		37,255994
37,252158		37,252158		20,43311		37,246881
37,235266		37,235266		20,380886		37,226174
37,24		37,24		20,242591		37,236167
37,232286		37,232286		20,224943		37,22998
37,234503		37,234503		20,310372		37,230248
37,251995		37,251995		20,327489		37,243186
37,225752		37,225752		20,320917		37,222304
37,205638		37,205638		20,161531		37,203371
37,229003		37,229003		20,127805		37,223998
37,233393		37,233393		20,120674		37,226747
37,238372		37,238372		20,118343		37,235778
37,219116		37,219116		20,239092		37,212066
37,224582		37,224582		20,240843		37,220429
37,214183		37,214183		20,228577		37,209063
37,207382		37,207382		20,121345		37,207284
37,199595		37,199595		20,087847		37,192939
37,203755		37,203755		20,021096		37,199998
37,180825		37,180825		20,038059		37,175576
37,208305		37,208305		20,015209		37,203681
37,247991		37,247991		20,028816		37,241831
37,26545		37,26545		20,14423		37,259616
37,2626		37,2626		20,285455		37,258544
37,240375		37,240375		20,266944		37,235749
37,20904		37,20904		20,179732		37,200252
37,206145		37,206145		20,083138		37,203253
37,198069		37,198069		20,071364		37,19268
37,194406		37,194406		20,034351		37,188671
37,217858		37,217858		20,020131		37,212518
37,187426		37,187426		20,036668		37,184072
37,15407		37,15407		19,993574		37,151092
37,160442		37,160442		19,889842		37,154465
37,160044		37,160044		19,888405		37,156302
37,189327		37,189327		19,892548		37,186427
37,179569		37,179569		19,940847		37,17713
37,153657		37,153657		19,914394		37,152433
37,149505		37,149505		19,897683		37,145601
37,14175		37,14175		19,786947		37,137255
37,170301		37,170301		19,730561		37,16999
37,183702		37,183702		19,749261		37,179702
37,19064		37,19064		19,852884		37,187446
37,168974		37,168974		19,853166		37,165141
37,165587		37,165587		19,828811		37,164121
37,170058		37,170058		19,788011		37,166598
37,176139		37,176139		19,805392		37,171946
37,224786		37,224786		19,820021		37,223142
37,216479		37,216479		19,871008		37,209987
