me+precincts		precincts		me		trunc
54,19913		54,19913		20,570919		54,094436
54,017303		54,017303		20,529276		53,958134
54,114627		54,114627		20,525037		54,02605
54,007428		54,007428		20,547646		53,93062
54,148083		54,148083		20,542001		54,062601
53,887453		53,887453		20,451115		53,781319
53,90976		53,90976		20,390237		53,858218
53,991065		53,991065		20,32325		53,958168
53,930754		53,930754		20,293628		53,895759
53,962818		53,962818		20,347754		53,907721
53,960619		53,960619		20,336335		53,916786
53,970117		53,970117		20,322938		53,928874
53,950163		53,950163		20,238915		53,896275
53,927145		53,927145		20,130873		53,886655
53,900443		53,900443		20,12399		53,857887
53,950551		53,950551		20,155513		53,910094
53,905216		53,905216		20,272045		53,861556
53,909075		53,909075		20,272676		53,845683
53,933375		53,933375		20,230933		53,86857
53,873706		53,873706		20,177742		53,820376
53,961905		53,961905		20,089783		53,903179
53,938656		53,938656		20,02062		53,880557
53,898025		53,898025		20,068653		53,842324
53,991798		53,991798		20,045298		53,897209
54,132079		54,132079		20,099471		54,019617
54,052709		54,052709		20,111652		53,992564
54,080019		54,080019		20,320218		54,010524
53,910395		53,910395		20,263814		53,860382
53,728272		53,728272		20,169076		53,668521
53,854833		53,854833		20,085816		53,76252
53,741099		53,741099		20,111413		53,687553
53,853876		53,853876		20,013471		53,735861
54,059624		54,059624		20,054651		53,950737
53,726989		53,726989		20,077071		53,618013
53,73241		53,73241		19,970838		53,660244
53,736262		53,736262		19,921597		53,61892
53,878001		53,878001		19,873931		53,827685
53,705488		53,705488		19,952828		53,669075
53,839708		53,839708		19,969408		53,723497
53,735508		53,735508		19,95102		53,662312
53,695119		53,695119		19,901852		53,6449
53,680618		53,680618		19,832309		53,611267
53,708279		53,708279		19,781671		53,641992
53,978769		53,978769		19,722448		53,904114
53,74942		53,74942		19,891909		53,669913
53,793491		53,793491		19,850969		53,728656
53,673078		53,673078		19,880456		53,639933
53,752997		53,752997		19,778344		53,6045
53,742144		53,742144		19,795879		53,664902
53,757885		53,757885		19,851973		53,66811
53,775028		53,775028		19,880768		53,647417
