me+precincts		precincts		me		trunc
30,051037		13,990847		20,570919		14,294458
28,799005		13,790914		20,568084		14,195298
26,895329		13,945536		20,551425		14,206008
26,17397		13,859039		20,554768		14,20966
25,295654		14,280549		20,485558		14,208778
25,136093		13,780771		20,586079		14,207591
24,989841		14,191955		20,605814		14,300604
25,098422		13,956382		20,586013		14,221032
25,028288		13,671067		20,542071		14,217115
25,147798		14,296933		20,485509		14,22723
25,019263		13,878709		20,411172		14,235814
25,109923		14,239997		20,36811		14,226928
25,015911		14,141594		20,36129		14,238056
25,025208		14,449936		20,406835		14,2358
24,974411		13,892103		20,369457		14,241968
24,918425		14,557157		20,347448		14,247028
24,841344		13,805993		20,302299		14,247921
24,78468		14,603797		20,337362		14,252376
24,674671		13,990576		20,28484		14,250454
24,642909		14,196272		20,296172		14,260998
24,541947		14,369131		20,221837		14,260727
24,528384		14,036072		20,232668		14,265266
24,41485		14,029056		19,993269		14,277527
24,425149		14,005245		19,997007		14,277492
24,383883		14,130139		19,953487		14,296294
24,408582		13,887358		19,930888		14,304857
24,310542		13,875982		19,917051		14,383668
24,27022		14,076302		19,884515		14,313272
24,201066		14,458638		19,827287		14,31543
24,249485		13,828545		19,885241		14,322906
24,203452		13,983673		19,816402		14,330259
24,217808		14,076387		19,832702		14,33607
24,163632		13,889353		19,771266		14,34528
24,123263		14,149973		19,777193		14,336345
24,107568		13,562881		19,783195		14,345282
24,167804		14,486348		19,767072		14,339328
24,155211		13,626327		19,78456		14,349357
24,147138		14,183391		19,747502		14,355047
24,088359		13,869595		19,729846		14,36109
24,141958		13,908961		19,752105		14,367632
24,061755		14,06709		19,689842		14,364092
24,099548		13,844348		19,758038		14,368116
24,098051		13,808843		19,700334		14,376782
24,121935		14,248906		19,663997		14,384657
24,131514		13,682819		19,649436		14,393238
24,135047		13,817285		19,574311		14,490105
24,097105		13,890412		19,58883		14,395612
24,111129		13,985271		19,546459		14,408433
24,059542		13,777346		19,538362		14,410032
24,090407		14,139446		19,579789		14,431615
24,09806		14,130601		19,501315		14,432473
