me+precincts		precincts		me		trunc
42,615488		42,615488		20,570919		42,607552
42,564571		42,564571		20,491165		42,562856
42,614112		42,614112		20,489262		42,606956
42,585583		42,585583		20,504558		42,582791
42,577149		42,577149		20,501696		42,576148
42,562513		42,562513		20,411393		42,557906
42,535433		42,535433		20,352247		42,533446
42,562176		42,562176		20,323034		42,557275
42,552505		42,552505		20,257306		42,548267
42,551012		42,551012		20,311831		42,548033
42,548095		42,548095		20,291161		42,548034
42,530742		42,530742		20,285526		42,527712
42,553297		42,553297		20,201147		42,556647
42,54935		42,54935		20,09529		42,539386
42,533646		42,533646		20,088522		42,527878
42,548964		42,548964		20,086609		42,550412
42,531567		42,531567		20,234621		42,519751
42,535192		42,535192		20,236423		42,527399
42,535284		42,535284		20,194277		42,532714
42,546768		42,546768		20,141875		42,537951
42,510167		42,510167		20,052482		42,499178
42,518742		42,518742		20,019198		42,510572
42,520335		42,520335		20,032562		42,516993
42,519827		42,519827		20,01029		42,516308
42,541209		42,541209		20,061317		42,54213
42,576053		42,576053		20,073962		42,571125
42,558879		42,558879		20,214886		42,562093
42,561991		42,561991		20,226371		42,562068
42,517481		42,517481		20,13236		42,507357
42,523342		42,523342		20,050686		42,517437
42,511452		42,511452		20,005231		42,497521
42,503898		42,503898		20,013237		42,50223
42,535061		42,535061		20,027986		42,532808
42,520854		42,520854		19,980704		42,513542
42,501481		42,501481		19,926563		42,495798
42,493706		42,493706		19,886575		42,49564
42,488946		42,488946		19,823932		42,485815
42,513277		42,513277		19,859448		42,505703
42,516387		42,516387		19,907166		42,511135
42,487576		42,487576		19,909965		42,487695
42,47806		42,47806		19,867173		42,46629
42,469084		42,469084		19,771275		42,469395
42,514281		42,514281		19,725269		42,512619
42,515367		42,515367		19,688545		42,509597
42,51653		42,51653		19,790084		42,516328
42,500058		42,500058		19,870281		42,49854
42,48021		42,48021		19,820712		42,480019
42,507239		42,507239		19,744388		42,509184
42,515199		42,515199		19,794367		42,506917
42,542851		42,542851		19,785085		42,536319
42,53824		42,53824		19,841756		42,532529
