me+precincts		precincts		me		trunc
40,443932		40,443932		20,570919		40,411955
40,460112		40,460112		20,485813		40,406611
40,475677		40,475677		20,48414		40,42441
40,43392		40,43392		20,490375		40,388271
40,410491		40,410491		20,488489		40,366824
40,411411		40,411411		20,402966		40,366544
40,439544		40,439544		20,343499		40,385463
40,421456		40,421456		20,315932		40,363526
40,407804		40,407804		20,251759		40,363704
40,387673		40,387673		20,306488		40,343642
40,448614		40,448614		20,288087		40,402165
40,371012		40,371012		20,279392		40,316181
40,406401		40,406401		20,196103		40,343021
40,398652		40,398652		20,088627		40,362344
40,390648		40,390648		20,081054		40,328864
40,405517		40,405517		20,07987		40,351557
40,383306		40,383306		20,237589		40,335756
40,402723		40,402723		20,229358		40,352922
40,386155		40,386155		20,189945		40,346957
40,396338		40,396338		20,135862		40,351902
40,371366		40,371366		20,047101		40,321934
40,385639		40,385639		19,979069		40,315345
40,361381		40,361381		19,999357		40,313589
40,35738		40,35738		20,003733		40,324197
40,400468		40,400468		20,056358		40,358939
40,45559		40,45559		20,069119		40,398189
40,42476		40,42476		20,271118		40,388362
40,406882		40,406882		20,203612		40,356727
40,384659		40,384659		20,188444		40,339115
40,382703		40,382703		20,039623		40,309348
40,366907		40,366907		19,997214		40,325065
40,37838		40,37838		20,004765		40,326361
40,385904		40,385904		20,009507		40,354739
40,351672		40,351672		19,96389		40,320469
40,354674		40,354674		19,922482		40,291305
40,357455		40,357455		19,854453		40,300948
40,355785		40,355785		19,875752		40,311777
40,354039		40,354039		19,853845		40,290644
40,375699		40,375699		19,92925		40,318831
40,332905		40,332905		19,902885		40,296763
40,316648		40,316648		19,860749		40,274595
40,32091		40,32091		19,765069		40,280171
40,355598		40,355598		19,694278		40,296208
40,36961		40,36961		19,682427		40,321524
40,369856		40,369856		19,850362		40,324241
40,33937		40,33937		19,80572		40,288899
40,342311		40,342311		19,804025		40,292816
40,343465		40,343465		19,737132		40,291717
40,359716		40,359716		19,813074		40,330211
40,39292		40,39292		19,812213		40,351951
40,375902		40,375902		19,835161		40,334308
