me+precincts		precincts		me		trunc
48,340702		48,340702		20,570919		48,30298
48,265972		48,265972		20,509107		48,216064
48,323663		48,323663		20,504939		48,290844
48,335822		48,335822		20,51459		48,30545
48,338727		48,338727		20,521533		48,303224
48,253884		48,253884		20,431503		48,223405
48,214145		48,214145		20,370082		48,182824
48,25874		48,25874		20,303151		48,227721
48,25487		48,25487		20,27421		48,217343
48,236738		48,236738		20,328987		48,203287
48,263038		48,263038		20,31682		48,232006
48,241159		48,241159		20,302979		48,202546
48,255466		48,255466		20,21923		48,217226
48,233661		48,233661		20,112172		48,207206
48,241023		48,241023		20,105839		48,206698
48,237286		48,237286		20,13623		48,213213
48,231626		48,231626		20,252351		48,196738
48,242301		48,242301		20,253224		48,211943
48,245271		48,245271		20,211999		48,218569
48,21943		48,21943		20,158483		48,188484
48,237884		48,237884		20,070975		48,198918
48,259814		48,259814		20,002415		48,229126
48,256798		48,256798		20,050213		48,220567
48,243049		48,243049		19,992958		48,209459
48,294517		48,294517		20,080421		48,257421
48,310465		48,310465		20,092015		48,266651
48,250754		48,250754		20,300855		48,217641
48,306149		48,306149		20,28043		48,26296
48,27259		48,27259		20,150622		48,231034
48,227017		48,227017		20,067893		48,18792
48,251389		48,251389		20,092895		48,219255
48,275165		48,275165		19,994903		48,235154
48,268032		48,268032		20,036714		48,22479
48,217817		48,217817		20,060831		48,173017
48,180022		48,180022		19,952526		48,143736
48,171474		48,171474		19,903516		48,142181
48,162003		48,162003		19,855239		48,12758
48,263807		48,263807		19,934512		48,231676
48,215649		48,215649		19,951577		48,175815
48,250072		48,250072		19,933323		48,209266
48,152358		48,152358		19,883794		48,118108
48,14324		48,14324		19,814865		48,10852
48,260483		48,260483		19,764081		48,229709
48,253757		48,253757		19,705097		48,210305
48,240425		48,240425		19,874079		48,200243
48,214717		48,214717		19,828726		48,178262
48,23797		48,23797		19,852888		48,207031
48,277814		48,277814		19,761099		48,225188
48,257589		48,257589		19,779249		48,211615
48,210328		48,210328		19,834735		48,182158
48,26987		48,26987		19,86332		48,212907
