me+precincts		precincts		me		trunc
29,873826		11,63414		20,570919		11,747863
28,015803		11,507324		20,545421		11,798386
25,841499		11,451029		20,531933		11,806776
24,890755		11,574187		20,563749		11,807019
23,841205		11,460852		20,477281		11,810028
23,539208		11,497287		20,496606		11,801911
23,255874		11,33694		20,567044		11,808189
23,218454		11,471275		20,715899		11,816255
23,083075		11,543578		20,6352		11,811715
23,203365		11,441473		20,491232		11,819769
23,062473		11,566739		20,449362		11,770761
23,096871		11,309565		20,500847		11,818329
23,205338		11,529991		20,396567		11,824989
23,336404		11,525143		20,376295		11,825331
23,308637		11,543052		20,183518		11,874833
23,350033		11,630041		20,253299		11,834485
23,273123		11,501443		20,241657		11,836077
23,204177		11,428654		20,208387		11,840558
23,191205		11,571725		20,286051		11,842417
23,162644		11,510458		20,176042		11,84426
22,951936		11,464443		20,307805		11,850395
22,904386		11,49705		20,241644		11,801029
22,756313		11,507648		20,235807		11,863295
22,837626		11,272162		19,929581		11,86671
22,803922		11,335226		19,985909		11,824099
22,897593		11,528997		19,804549		11,886849
22,841928		11,398314		19,898877		11,887143
22,847678		11,27588		19,959209		11,889241
22,710425		11,399726		19,884454		11,844244
22,746255		11,462242		19,918621		11,838327
22,755499		11,416561		19,861498		11,907892
22,71522		11,489137		19,821973		11,909715
22,617316		11,352121		19,898938		11,919448
22,681604		11,660071		20,010429		11,919572
22,663356		11,48392		19,85879		11,921424
22,685708		11,395605		19,913192		11,860849
22,688766		11,365456		19,824155		11,868477
22,723266		11,475472		19,723466		11,87251
22,583903		11,329117		19,667911		11,933151
22,597987		11,49572		19,807228		11,936368
22,420723		11,32129		19,75672		11,884578
22,389901		11,545153		19,794115		11,938964
22,464794		11,513523		19,741645		11,944731
22,494313		11,342985		19,676436		11,952081
22,419119		11,503391		19,630825		11,956013
22,474987		11,512077		19,700005		11,961716
22,489211		11,555882		19,64093		11,965183
22,619055		11,431762		19,658034		11,972039
22,571259		11,529006		19,671373		11,975827
22,625496		11,430992		19,73483		11,992473
22,524797		11,46349		19,544236		11,995974
