me+precincts		precincts		me		trunc
29,475087		10,694827		20,570919		11,061563
27,069472		10,694178		20,5644		11,060245
24,810455		10,753063		20,512391		11,067105
23,749367		10,702622		20,463544		11,067285
22,602738		10,807279		20,430485		10,973394
22,070886		10,717867		20,413309		10,966685
21,611161		10,734668		20,417779		11,066382
21,37969		10,746774		20,514375		10,977978
20,957832		10,753171		20,36423		11,068766
20,778627		10,70085		20,184011		11,075293
20,853451		10,764491		20,062359		10,98305
20,700056		10,752581		20,024561		10,978471
20,772329		10,66572		19,954806		11,175018
20,750735		10,83978		19,802853		10,983916
20,613781		10,754255		19,875901		11,179892
20,649767		10,746843		19,728381		11,08677
20,776759		10,903459		19,623333		11,18393
20,55551		10,742031		19,752611		11,091974
20,398001		10,675775		19,593522		10,904403
20,641634		10,895704		19,402591		11,093864
20,391903		10,797108		19,543808		11,002789
20,38688		10,730238		19,530564		11,198926
20,465772		10,780379		19,487116		11,012516
20,228498		10,815021		19,662711		11,1115
20,056135		10,654635		19,677798		10,932297
20,097402		10,751484		19,462323		11,031617
20,03637		10,765929		19,491354		11,128149
20,034534		10,77426		19,456501		11,128811
20,152187		10,856094		19,345931		10,948874
20,000768		10,848135		19,397592		11,133412
20,069942		10,751443		19,314167		11,241663
20,075709		10,820222		19,254075		10,955211
19,843267		10,943706		19,330552		11,153655
19,707755		10,678411		19,280012		10,963639
19,831876		10,815489		19,039439		11,059304
19,682961		10,725827		19,150112		10,963033
19,569476		10,71783		19,091983		10,96865
19,873907		10,950569		18,934137		11,066709
19,844759		10,819289		19,066621		11,166591
19,798926		10,800598		19,050251		11,169989
19,739499		10,895668		19,015725		11,076017
19,654372		10,722347		19,086921		11,172394
19,525533		10,747668		18,962265		11,081537
19,682776		10,849514		18,869614		10,992364
19,672423		10,756631		19,029769		11,187031
19,568561		10,849128		18,952286		11,291462
19,707771		10,885185		18,860119		11,002931
19,725454		10,866498		18,885846		11,201658
19,641249		10,904664		18,94676		11,204104
19,640588		10,869145		18,994467		11,12266
19,58553		10,75277		18,987587		11,031264
