me+precincts		precincts		me		trunc
46,161214		46,161214		20,570919		46,151292
46,042118		46,042118		20,485453		46,010677
46,135924		46,135924		20,479733		46,105259
46,124566		46,124566		20,489393		46,109442
46,100243		46,100243		20,495968		46,096829
46,029962		46,029962		20,405208		46,018941
46,002069		46,002069		20,347014		45,980256
46,053253		46,053253		20,316618		46,038896
46,028516		46,028516		20,252129		46,019984
46,03748		46,03748		20,305347		46,024108
46,023319		46,023319		20,28571		46,004131
46,04025		46,04025		20,279361		46,032401
46,038432		46,038432		20,197158		46,027068
46,015959		46,015959		20,091836		46,002366
46,055472		46,055472		20,083887		46,032207
46,045511		46,045511		20,082088		46,031875
46,064307		46,064307		20,229862		46,038978
46,039742		46,039742		20,231421		46,030376
46,046219		46,046219		20,188046		46,037939
46,028386		46,028386		20,136893		46,010647
46,027509		46,027509		20,049093		46,009254
46,01918		46,01918		19,981091		45,998187
45,948619		45,948619		20,027484		45,926028
46,021267		46,021267		20,00455		46,009088
46,031194		46,031194		20,057006		46,006647
46,036542		46,036542		20,06802		46,029851
46,11353		46,11353		20,276273		46,102109
46,060235		46,060235		20,256236		46,05494
46,034521		46,034521		20,128328		46,023442
46,008137		46,008137		20,045577		46,00869
45,999109		45,999109		20,011278		45,982141
46,028947		46,028947		19,97224		46,011943
46,002317		46,002317		20,022652		45,991957
46,00457		46,00457		20,037549		45,991112
45,980059		45,980059		19,931252		45,962412
45,938197		45,938197		19,880274		45,918955
45,91214		45,91214		19,820489		45,900107
45,94871		45,94871		19,854014		45,93153
46,005238		46,005238		19,903067		45,992813
45,937975		45,937975		19,910266		45,927695
45,931522		45,931522		19,863556		45,901723
45,922833		45,922833		19,735656		45,908873
45,942946		45,942946		19,742443		45,934255
46,014662		46,014662		19,683435		45,996987
45,994336		45,994336		19,853523		45,978199
45,914298		45,914298		19,807172		45,902392
46,001319		46,001319		19,830336		45,981511
45,959463		45,959463		19,738893		45,945295
45,961399		45,961399		19,816199		45,926453
46,025368		46,025368		19,811935		45,997798
46,02954		46,02954		19,84125		46,008744
