me+precincts		precincts		me		trunc
38,918649		38,918649		20,570919		38,93414
38,884849		38,884849		20,490936		38,890938
38,901648		38,901648		20,500173		38,911172
38,887737		38,887737		20,498233		38,888391
38,854211		38,854211		20,497548		38,865516
38,858944		38,858944		20,417396		38,856626
38,85927		38,85927		20,350793		38,865719
38,848452		38,848452		20,210516		38,852809
38,849525		38,849525		20,223633		38,856156
38,841904		38,841904		20,276814		38,84902
38,854762		38,854762		20,294594		38,858211
38,837431		38,837431		20,286013		38,842609
38,83286		38,83286		20,143185		38,831948
38,831678		38,831678		20,095412		38,830652
38,855504		38,855504		20,088135		38,861853
38,861692		38,861692		20,086801		38,861577
38,814757		38,814757		20,206919		38,820232
38,825583		38,825583		20,207938		38,831688
38,824322		38,824322		20,195847		38,829224
38,814422		38,814422		20,115291		38,820091
38,811091		38,811091		20,089621		38,80462
38,827512		38,827512		20,021064		38,831241
38,77785		38,77785		20,032481		38,788309
38,824233		38,824233		20,011105		38,827794
38,852801		38,852801		20,001179		38,856954
38,856884		38,856884		20,111742		38,864954
38,890108		38,890108		20,249888		38,887467
38,841394		38,841394		20,25702		38,846419
38,818432		38,818432		20,165985		38,824108
38,830448		38,830448		20,064888		38,827528
38,811591		38,811591		20,039298		38,817631
38,809212		38,809212		20,011422		38,811697
38,806938		38,806938		19,991603		38,811452
38,802609		38,802609		20,005183		38,804918
38,774755		38,774755		19,96113		38,777165
38,772886		38,772886		19,860287		38,779185
38,774652		38,774652		19,857307		38,780562
38,807567		38,807567		19,862009		38,807696
38,806239		38,806239		19,935137		38,815457
38,777548		38,777548		19,883921		38,78217
38,747215		38,747215		19,872552		38,75179
38,770195		38,770195		19,773146		38,768315
38,781451		38,781451		19,702219		38,788374
38,799618		38,799618		19,721176		38,807938
38,791707		38,791707		19,822549		38,789724
38,780201		38,780201		19,846622		38,782738
38,784		38,784		19,810677		38,786599
38,787271		38,787271		19,744502		38,793074
38,788532		38,788532		19,784798		38,796405
38,836283		38,836283		19,817321		38,841159
38,813776		38,813776		19,875301		38,820697
