0 0 0 1
128 0 0 0
256 0 -2 0
384 0 0 0
512 0 -4 -4
640 0 -4 -3
768 0 6 -1
896 0 6 -3
1024 0 2 0
1152 0 -3 -1
1280 0 6 -3
1408 0 2 0
1536 0 -6 -4
1664 0 -4 -4
1792 0 -6 -6
1920 0 -6 -6
2048 0 -4 -4
2176 0 -2 -6
2304 0 0 0
2432 0 0 0
2560 0 0 0
2688 0 0 0
2816 0 0 0
2944 0 2 2
3072 0 2 2
3200 0 0 0
3328 0 1 0
3456 0 -1 0
3584 0 1 0
3712 0 0 0
3840 0 -4 7
3968 0 -7 7
0 128 0 0
128 128 0 0
256 128 0 0
384 128 0 0
512 128 -4 -4
640 128 -1 -1
768 128 6 -2
896 128 6 -4
1024 128 0 0
1152 128 0 0
1280 128 4 0
1408 128 2 0
1536 128 -6 -6
1664 128 -4 -4
1792 128 -6 -7
1920 128 -2 -7
2048 128 -6 -6
2176 128 -5 -7
2304 128 0 0
2432 128 2 -3
2560 128 -3 -3
2688 128 0 -3
2816 128 0 0
2944 128 0 0
3072 128 0 0
3200 128 3 -3
3328 128 0 0
3456 128 0 0
3584 128 -2 0
3712 128 0 0
3840 128 -4 4
3968 128 -4 4
0 256 0 2
128 256 0 0
256 256 -4 -4
384 256 -4 -4
512 256 4 -4
640 256 4 -4
768 256 3 7
896 256 4 2
1024 256 -4 0
1152 256 -2 -2
1280 256 -7 -3
1408 256 -2 -2
1536 256 0 0
1664 256 0 0
1792 256 0 0
1920 256 0 0
2048 256 0 0
2176 256 0 0
2304 256 -1 0
2432 256 -2 -2
2560 256 0 2
2688 256 0 1
2816 256 -2 -7
2944 256 -1 -7
3072 256 2 -7
3200 256 7 -7
3328 256 7 -7
3456 256 4 -4
3584 256 4 -4
3712 256 4 -4
3840 256 0 0
3968 256 0 0
0 384 0 0
128 384 0 0
256 384 -4 -7
384 384 -6 -7
512 384 4 -4
640 384 4 -2
768 384 6 1
896 384 2 2
1024 384 -1 0
1152 384 -1 0
1280 384 -1 0
1408 384 -1 1
1536 384 0 0
1664 384 0 0
1792 384 0 0
1920 384 0 0
2048 384 0 0
2176 384 0 0
2304 384 -1 0
2432 384 -1 0
2560 384 -2 4
2688 384 2 6
2816 384 -2 -6
2944 384 -4 -6
3072 384 6 -6
3200 384 6 -4
3328 384 4 -4
3456 384 4 -4
3584 384 6 -4
3712 384 4 -4
3840 384 0 0
3968 384 0 0
0 512 -1 -1
128 512 0 0
256 512 -4 -4
384 512 -4 -4
512 512 -6 -7
640 512 -7 -4
768 512 2 2
896 512 2 2
1024 512 0 0
1152 512 0 0
1280 512 0 0
1408 512 0 0
1536 512 0 0
1664 512 0 0
1792 512 0 0
1920 512 0 0
2048 512 0 0
2176 512 0 0
2304 512 0 0
2432 512 0 0
2560 512 0 0
2688 512 0 0
2816 512 0 0
2944 512 0 0
3072 512 1 0
3200 512 7 -2
3328 512 -4 -4
3456 512 -1 -6
3584 512 0 0
3712 512 0 0
3840 512 2 -4
3968 512 4 -4
0 640 0 0
128 640 0 0
256 640 -4 -2
384 640 -7 -7
512 640 -6 -6
640 640 -6 -6
768 640 1 1
896 640 1 1
1024 640 0 0
1152 640 0 0
1280 640 0 0
1408 640 0 0
1536 640 0 0
1664 640 0 0
1792 640 0 0
1920 640 0 0
2048 640 0 0
2176 640 0 0
2304 640 0 0
2432 640 0 0
2560 640 0 0
