0.96245 	 0.46715
0.96003 	 0.47967
0.95842 	 0.46958
0.95836 	 0.48124
0.95702 	 0.48169
0.95738 	 0.47108
0.95731 	 0.47137
0.95744 	 0.47181
0.95749 	 0.48324
0.95712 	 0.47228
0.95662 	 0.47288
0.95687 	 0.48417
0.95708 	 0.47316
0.95588 	 0.47396
0.95356 	 0.47358
0.95269 	 0.47343
0.95271 	 0.47393
0.95157 	 0.47386
0.95046 	 0.47400
0.95020 	 0.47402
0.94961 	 0.47417
0.95055 	 0.47424
0.94905 	 0.47431
0.95085 	 0.47571
0.94726 	 0.47173
0.94700 	 0.48549
0.94402 	 0.47198
0.94556 	 0.47190
0.94335 	 0.47416
0.94467 	 0.47245
0.94387 	 0.47607
0.94310 	 0.47257
0.94352 	 0.47321
0.94392 	 0.47265
0.94268 	 0.47211
0.94567 	 0.47420
0.94331 	 0.47263
0.94697 	 0.47759
0.94533 	 0.47480
0.94713 	 0.47120
0.94644 	 0.47838
0.94642 	 0.49275
0.94407 	 0.47502
0.94365 	 0.47574
0.94006 	 0.47307
0.94345 	 0.47371
0.94138 	 0.47268
0.94083 	 0.47278
0.94112 	 0.47404
0.94171 	 0.46265
0.93740 	 0.48955
